date_registered,gender,birthdate,current_location,employer,job,age,salary,credit_card_provider
2021-09-29,M,1978-03-11,"[78.9, 71.3]","Byrd, Welch and Holt",Professional,40-49,30k-60k,VISA 19 digit
2019-08-17,F,1970-11-29,"[-24.2, 100.7]",Hurst PLC,Other,40-49,60k-90k,Discover
2019-11-01,M,2009-04-23,"[8.0, -19.6]","Mora, Caldwell and Guerrero",Professional,40-49,150k+,VISA 16 digit
2021-12-31,F,1992-07-27,"[62.5, 2.7]",Patel PLC,Other,30-39,90k-120k,VISA 16 digit
2020-08-09,F,1989-09-16,"[73.8, -80.3]",Smith-Mejia,Other,50-59,90k-120k,JCB 16 digit
2021-12-29,M,1935-12-08,"[43.2, 54.5]","Wolf, Perez and Bryant",Other,40-49,30k-60k,American Express
2019-09-13,F,1981-06-02,"[-27.8, 10.8]","Kim, Lucero and Brown",Other,50-59,150k+,JCB 16 digit
2021-10-06,F,1923-11-05,"[-50.6, 114.9]",Chavez-Patterson,Other,50-59,60k-90k,Diners Club / Carte Blanche
2021-11-01,F,2001-06-17,"[-47.3, -5.4]",Watson-Park,Other,60+,150k+,VISA 19 digit
2020-04-01,F,1931-01-27,"[3.8, 130.9]",Forbes-Richards,Other,20-29,90k-120k,VISA 19 digit
2021-08-21,M,1909-03-27,"[78.5, -0.8]",Cummings-Clayton,Other,40-49,60k-90k,Mastercard
2021-08-22,F,1960-01-11,"[19.0, 35.0]",Jordan-Webb,Other,30-39,120k-150k,Discover
2019-07-18,M,1996-10-15,"[67.5, -89.7]","Porter, Espinoza and Osborne",Other,60+,60k-90k,Diners Club / Carte Blanche
2020-07-01,M,1999-07-16,"[-37.5, -113.1]","Mcdonald, Lucero and Lewis",Other,30-39,90k-120k,VISA 19 digit
2022-05-09,M,1928-06-08,"[-81.8, -171.4]",Fitzpatrick and Sons,Other,60+,120k-150k,American Express
2022-06-21,F,1929-07-18,"[-24.9, -142.9]","Clark, Giles and Bennett",Other,20-29,90k-120k,JCB 15 digit
2019-08-24,F,1993-07-16,"[73.6, 107.7]","Brown, Goodman and Thompson",Other,50-59,30k-60k,JCB 16 digit
2021-08-18,F,2014-01-10,"[53.9, -4.4]",Thompson Group,Other,40-49,<30k,VISA 19 digit
2020-04-25,M,1950-07-21,"[13.5, -2.5]",Curry Inc,Other,30-39,150k+,Discover
2019-10-14,M,2014-04-14,"[-5.7, 40.0]","Stevens, Torres and Baldwin",Other,40-49,150k+,JCB 16 digit
2020-09-17,M,1962-03-19,"[58.5, 159.2]",Carroll-Johnson,Other,50-59,90k-120k,VISA 13 digit
2020-02-23,F,1988-09-06,"[-16.3, 122.9]",Johnson Ltd,Other,30-39,<30k,VISA 13 digit
2022-01-25,M,1948-10-03,"[-33.4, 39.9]",Mills and Sons,Other,20-29,30k-60k,Discover
2019-11-15,M,1992-12-08,"[10.7, 67.6]",Salazar Ltd,Other,30-39,120k-150k,VISA 16 digit
2022-06-01,F,1978-08-15,"[-15.4, -154.6]","Harris, Carter and Turner",Other,50-59,90k-120k,Maestro
2021-11-18,M,1956-07-23,"[26.3, -47.6]",Johnson-Lambert,Other,<20,90k-120k,VISA 16 digit
2021-02-16,F,1973-05-19,"[-59.2, 67.9]",Tucker-Garcia,Other,40-49,90k-120k,Diners Club / Carte Blanche
2020-07-27,M,1992-10-18,"[-52.1, -131.2]","Vargas, Stein and Acosta",Other,20-29,60k-90k,Discover
2020-08-07,M,1934-09-10,"[-32.8, 133.7]","Baker, Nichols and Cardenas",Other,60+,30k-60k,Diners Club / Carte Blanche
2021-07-21,M,1931-01-11,"[27.7, -41.0]",Jones-Moody,Other,20-29,150k+,Diners Club / Carte Blanche
2020-06-13,F,1996-06-13,"[86.3, 0.2]",Dominguez Ltd,Other,40-49,150k+,Discover
2021-10-23,M,1982-06-07,"[58.4, 102.7]",Lutz Group,Other,20-29,150k+,JCB 15 digit
